CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
05664;0;4;0;0;5;0;14;22;4;6;61;31;87;63;70;80;41;49;112;55;39;31;48;31;24;22;22;39;42;19
05665;1;91;60;56;63;96;109;341;408;425;1023;728;1688;1129;1545;1196;824;964;1519;248;284;261;322;190;217;199;252;128;160;35
05667;5;3;5;10;2;86;0;7;2;19;6;17;19;33;32;2989;175;2792;706;427;489;1246;288;240;217;441;108;71;51;28
05670;0;3;16;0;5;3;0;15;0;8;4;0;17;47;67;27;27;66;42;19;2147;118;32;39;32;62;47;41;45;11
05674;0;0;0;0;0;0;23;0;6;1;0;0;11;18;22;63;21;260;338;199;115;65;46;61;71;40;59;12;30;12
05679;0;0;0;0;1;0;4;4;3;1;5;20;2;26;9;36;51;76;526;371;103;120;60;140;90;57;53;31;37;14
05686;0;0;0;0;0;0;0;0;0;0;7;1;1;7;17;28;32;117;68;72;20;34;48;51;23;15;22;77;86;27
05690;5;0;0;0;5;0;0;0;8;16;4;23;12;12;21;40;12;56;396;52;114;51;70;43;87;55;85;28;49;6
05697;1;0;0;7;8;0;7;7;8;10;16;13;29;77;49;98;107;3238;726;744;297;286;91;65;92;51;65;32;54;11
05736;0;94;2;16;2;1;0;11;0;14;20;14;14;6;39;80;29;321;495;184;885;87;187;97;98;101;123;74;54;13
05756;4;22;3;21;1;3;11;16;19;21;26;88;63;170;118;189;201;342;645;1637;1921;836;1003;848;736;499;206;123;82;12
05761;0;0;0;0;0;0;0;0;0;14;9;19;26;1;17;36;24;18;43;64;14;25;18;27;21;1;28;22;36;9
05789;0;1;2;0;0;0;3;0;0;5;3;0;5;0;4;13;14;25;18;18;8;25;9;12;14;18;6;17;14;23
05790;3;12;0;3;12;7;0;20;46;29;42;7;18;34;129;57;87;113;1875;820;424;609;430;669;442;538;956;393;881;124
05792;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;2;4;7;0;0;0;4;2;1;1;1;0
05809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;4;18;0;0;8;0;2;0;8;7;2;5
05819;1;0;0;0;3;0;1;0;0;5;3;0;3;9;28;82;382;60;131;79;13;26;7;8;23;5;6;46;13;27
05837;2;121;72;59;131;585;289;572;256;255;427;981;5793;6944;22357;6381;2123;8866;3639;5003;1786;3287;1552;1397;1485;1785;941;531;574;131
05842;0;14;6;14;9;0;2;13;6;22;44;27;30;78;147;145;112;1239;177;164;108;81;101;56;119;100;83;69;50;18
05847;50;9;3;8;5;20;3;7;20;18;23;29;76;196;264;762;1101;3020;2074;714;1231;788;1839;967;995;844;303;188;205;42
