CODMUN_SALIDA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
05475;22;3;0;0;0;0;0;3;1;3;4;0;3;19;106;67;63;83;1049;407;43;152;127;52;52;60;24;25;21;14
05480;650;139;61;38;54;59;74;81;102;104;139;319;676;2049;10349;6637;2305;2748;1578;734;272;302;785;844;421;657;250;123;156;258
05483;156;5;0;0;5;7;39;19;7;31;35;26;81;222;126;194;636;528;517;791;889;967;1456;4056;1236;419;138;76;68;22
05490;348;161;191;171;170;254;214;338;190;507;878;1933;10129;1301;3007;854;740;689;833;692;340;475;625;507;670;609;336;222;224;64
05495;124;27;1;0;11;15;29;9;14;35;21;16;25;31;84;172;237;493;479;483;159;267;409;501;424;363;564;1704;301;83
05501;0;2;0;0;1;0;0;0;0;4;0;1;0;0;11;6;0;15;3;15;0;34;2;6;12;24;25;3;10;0
05541;20;10;0;1;2;0;0;3;0;0;1;19;13;6;16;25;60;299;973;568;855;142;167;103;102;26;25;24;16;8
05543;42;10;1;0;5;16;15;13;8;16;6;25;21;15;42;125;86;176;11594;129;70;581;97;188;123;124;48;168;35;6
05576;8;0;0;0;0;0;1;0;0;0;5;8;9;35;123;43;56;97;47;33;73;75;51;27;64;27;10;2;4;26
05579;21;53;22;23;20;3;18;41;12;23;19;24;15;52;30;92;62;191;241;283;171;229;225;412;357;497;460;398;376;68
05585;13;0;7;12;7;21;9;17;9;1;22;10;5;8;10;20;34;86;90;84;45;67;108;103;175;148;105;40;46;26
05591;17;0;5;0;17;8;3;2;12;14;5;12;8;5;1;59;13;35;161;57;37;95;71;133;107;66;80;46;32;22
05604;143;104;12;0;29;9;13;25;11;25;21;3;30;64;133;128;145;524;1770;498;238;267;492;368;670;290;150;112;88;60
05607;8;0;0;0;0;22;0;0;0;0;0;0;0;0;0;8;3;51;20;5;34;19;44;33;12;13;6;0;5;5
05615;14;0;0;0;8;1;0;0;0;0;5;4;3;11;33;31;14;27;55;79;73;53;63;48;95;86;53;53;108;26
05628;36;2;3;0;0;11;0;9;13;4;6;32;38;23;94;814;176;128;121;95;35;67;47;263;84;76;86;112;102;37
05631;37;0;0;0;0;0;0;0;0;11;3;0;0;0;0;10;0;72;0;7;0;25;3;1;1;14;0;3;4;7
05642;86;5;3;12;0;7;19;16;5;28;7;4;27;54;269;849;143;162;308;224;201;255;189;192;224;158;118;74;242;100
05647;25;31;0;0;0;0;0;0;0;0;6;6;19;26;92;63;36;75;74;47;277;149;71;106;155;81;66;49;69;73
05649;420;19;17;7;24;64;71;39;15;22;75;60;81;58;209;838;2202;3253;6704;6317;3507;2592;1453;846;452;336;100;47;43;37
05652;225;6;1;14;9;15;25;21;34;8;13;42;116;75;129;451;885;1111;1037;1524;4833;3775;624;301;407;176;45;7;5;5
05656;94;0;5;0;0;0;6;0;10;2;0;0;6;8;28;24;19;184;23;8;18;26;8;15;18;58;21;4;12;3
05658;10;0;0;0;0;0;0;0;0;0;8;0;0;16;50;64;18;10;36;21;19;38;43;38;8;0;12;3;6;4
05659;103;64;37;31;46;94;74;100;319;786;372;162;193;169;3239;410;178;213;489;266;178;159;210;222;306;202;159;71;117;57
05660;695;22;13;6;11;36;75;24;28;37;54;54;14;64;129;245;1115;10099;4808;4229;1308;930;579;400;278;188;144;44;30;13
05664;94;17;9;5;18;11;28;48;31;45;108;89;239;187;170;347;171;166;292;159;114;102;141;270;256;356;87;22;24;25
05665;430;78;59;53;65;114;106;380;487;542;2492;782;1644;1070;860;853;684;916;2146;1039;498;615;700;431;495;652;242;152;116;20
05667;209;7;6;21;14;109;27;35;16;27;54;40;56;86;78;3214;421;6524;2767;1489;838;1834;732;585;444;700;179;52;28;13
05670;10;10;15;1;10;0;12;33;4;13;8;41;66;192;245;113;59;157;210;90;2518;248;135;129;160;112;74;18;49;9
05674;109;0;0;0;3;0;30;21;4;16;19;21;36;89;33;203;263;663;608;315;261;188;194;100;96;73;40;29;22;18
05679;22;1;0;0;0;6;3;10;0;0;12;13;2;25;13;42;34;112;683;386;166;119;100;141;111;83;20;20;7;9
05686;11;0;0;0;0;1;0;29;0;1;12;2;0;0;6;10;19;187;102;98;72;57;56;66;48;14;40;14;36;14
05690;58;0;1;10;0;0;0;4;17;11;7;36;57;87;91;87;107;294;737;193;210;156;141;93;202;131;33;28;24;9
05697;62;0;0;0;0;0;0;13;0;0;4;0;29;36;20;38;67;835;850;271;279;145;153;62;73;73;38;18;5;0
05736;107;14;8;15;7;82;27;12;12;18;63;31;78;80;269;341;226;419;847;415;241;258;626;450;488;544;307;312;213;194
05756;66;44;14;28;2;10;10;18;19;77;39;107;85;240;164;205;259;791;1218;2286;3198;1665;1670;1306;1187;754;333;176;137;70
05761;12;0;0;7;7;0;1;3;0;0;0;7;0;73;9;4;18;18;53;33;21;29;37;53;45;84;47;93;61;9
05789;12;0;0;4;0;7;0;0;2;15;3;9;27;6;19;8;68;62;141;99;79;118;86;67;55;43;27;14;2;21
05790;43;23;3;4;21;46;15;57;17;55;75;34;61;131;108;117;196;350;3196;1223;459;616;933;1353;1356;1651;2163;1073;931;246
05792;7;0;0;0;0;0;0;0;0;9;13;12;14;0;24;0;24;7;22;25;30;8;15;6;31;3;8;0;2;7
05809;15;0;0;0;0;0;0;0;0;4;0;0;9;0;5;4;7;36;77;24;29;5;0;29;41;8;5;3;3;0
05819;12;7;0;0;0;0;1;0;0;8;16;18;21;12;80;172;480;144;147;173;92;64;66;62;43;41;65;107;66;59
05837;1112;357;159;239;304;1681;378;823;428;576;1274;1891;9976;18445;11671;8348;2143;5446;5286;1813;1091;1264;1673;1939;3007;2560;1285;682;1399;630
05842;98;3;1;23;11;10;30;3;17;35;59;103;64;168;325;362;185;1736;483;159;94;161;162;157;178;165;129;124;76;40
05847;317;7;3;7;10;16;38;17;67;46;41;72;191;396;841;1428;864;3862;3123;1415;2127;1909;3569;2017;2993;1948;923;509;332;185
05854;20;12;14;13;10;10;10;19;19;19;36;14;50;51;486;120;39;63;72;121;76;167;362;280;376;484;568;777;510;106
05856;0;0;0;0;0;0;0;0;2;12;0;0;2;0;4;8;4;3;23;69;15;24;15;0;35;9;3;13;6;0
05858;62;9;1;2;5;11;3;17;15;8;26;6;33;77;124;359;132;176;448;211;121;150;222;84;125;157;70;140;168;39
05861;17;0;0;0;0;0;5;0;0;0;0;0;1;7;7;16;34;32;47;48;30;22;43;23;30;12;9;6;24;5
05873;154;1;0;0;0;5;24;7;0;0;3;7;13;35;166;208;693;1606;1567;2893;79;187;257;572;509;410;253;385;105;76
05885;9;0;0;0;6;0;0;3;1;15;0;1;11;22;20;13;13;42;317;329;44;88;46;30;32;24;26;54;20;8
05887;31;3;1;2;11;9;7;8;7;0;0;53;34;74;155;55;71;409;145;158;142;170;167;194;252;228;259;316;378;170
05890;162;14;0;0;2;0;31;13;11;15;23;6;31;48;83;266;201;186;931;318;184;104;219;94;158;152;122;132;83;16
05893;894;20;0;19;13;22;33;17;5;5;1;6;15;195;266;1252;214;2763;1670;961;210;499;1047;1254;1446;1130;209;141;80;44
05895;119;5;3;7;6;2;10;19;37;13;2;14;21;57;49;167;284;525;1395;618;208;257;1918;525;455;647;548;697;989;151
08001;17;0;8;0;0;5;4;6;0;3;9;1;6;37;19;67;33;102;161;247;216;320;364;428;463;455;200;129;131;28
08078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;25;18;38;34;12;63;54;78;59;35;8;12;3
08137;0;0;0;0;0;0;0;7;0;0;0;0;0;0;4;0;0;1;10;6;0;21;8;31;6;0;0;0;0;0
08141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;10;11;15;6;0;0;0;0
08296;0;0;0;0;0;0;0;0;0;0;1;0;0;18;0;0;0;0;10;23;32;32;33;39;61;30;21;10;26;0
08372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;23;6;4;1;0;7;3;0;0
08421;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;11;59;12;63;35;31;75;52;2;10;4;4
08433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;11;5;29;20;56;36;51;61;106;81;26;33;23;8
08436;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;17;7;5;27;4;13;9;11;0;6;3;0;0
08520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;26;3;7;12;4;10;10;10;1;0;0;0
08549;3;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;1;3;7;3;16;123;13;70;12;3;0;0;0;0
08558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;9;18;6;6;10;7;13;5;19;2;2;0;0
08560;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;6;8;10;44;9;13;7;25;1;0;0;0
08573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;8;11;14;18;0;5;10;0;7;7;0
08606;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;14;200;131;32;137;24;11;12;8;23;18;0;0;4
08634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;53;11;17;14;22;24;15;17;10;19;0
08638;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;21;1;48;71;57;72;89;75;60;45;7;14;5
08675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;20;13;5;0;1;16;5;6;0;0;5;0;0
08685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;11;32;19;33;15;5;9;3;0
08758;1;0;0;0;0;0;0;0;0;3;0;0;2;0;16;4;13;21;31;34;71;106;120;123;179;168;56;99;64;5
08770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;10;4;3;3;1;3;8;5;12;0;0;0;0
08832;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;41;19;0;0;0;11;19;5;13;0;4;1;0
08849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;16;1;0;0;0;0
11001;46;2;0;0;11;11;2;3;20;4;6;15;40;24;76;47;89;87;145;296;151;299;740;925;1089;1221;806;263;192;173
13001;135;0;7;0;10;0;3;9;6;5;16;20;31;45;109;391;443;954;2417;1866;894;726;626;626;741;386;293;224;207;27
13006;598;15;3;3;12;21;25;33;28;46;49;28;83;59;331;982;588;961;1203;2267;702;470;545;435;370;269;115;166;203;69
13030;121;1;5;1;9;25;7;12;1;1;31;10;34;21;47;3385;1058;425;626;319;148;211;285;322;448;237;147;73;44;3
13042;65;0;0;12;0;2;4;1;0;7;0;3;7;18;20;176;217;335;361;383;272;410;222;205;250;229;93;75;50;46
13052;5;0;0;0;0;0;6;0;0;6;0;0;0;7;15;6;15;67;169;176;105;91;104;78;143;95;54;48;28;14
13062;0;6;0;0;0;0;0;3;0;0;1;0;7;2;6;7;9;58;38;39;14;24;38;9;20;0;19;0;0;0
13074;445;2;0;0;0;1;29;8;0;8;11;35;20;8;33;4148;404;684;808;426;238;247;523;1472;541;369;130;78;212;31
13140;83;1;0;0;0;0;0;23;0;4;0;4;0;20;69;79;72;215;217;485;184;209;207;165;82;94;21;0;11;2
13160;493;0;0;0;5;2;1;0;0;10;0;0;4;6;20;96;98;1674;3430;750;204;466;1267;890;1450;707;257;189;71;31
13188;11;1;0;0;0;0;0;0;0;0;0;0;0;2;9;11;41;323;21;10;30;30;39;38;46;24;0;16;6;6
13212;742;13;1;3;29;0;15;29;25;52;57;49;37;78;165;687;709;3795;4293;5610;1733;1132;912;513;375;328;78;59;37;2
13222;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;20;5;47;61;114;192;110;90;107;71;58;11;0;0;11
13244;6606;47;19;11;20;95;141;166;150;230;202;163;285;461;1259;2531;8303;29280;14840;7405;4070;5149;4166;3827;2233;1309;303;116;120;55
13248;92;2;0;4;0;0;0;0;5;3;16;13;6;171;74;57;53;75;123;228;114;151;130;165;137;71;3;9;0;2
13268;36;0;0;0;0;0;0;0;3;0;6;0;9;1;20;49;77;148;62;111;522;37;53;90;180;88;14;7;0;6
13300;7;5;0;0;0;0;0;0;0;0;0;0;13;0;0;15;14;9;37;21;39;84;61;68;37;37;8;5;17;0
13430;184;0;0;7;4;10;16;1;12;28;21;33;43;45;144;169;281;448;787;1360;499;609;765;876;715;526;308;262;783;24
13433;8;0;0;0;0;0;0;0;13;18;7;5;14;2;40;44;40;120;904;176;90;46;119;69;58;60;10;10;5;5
13440;13;1;0;0;0;0;0;4;0;0;2;0;8;0;33;2;13;52;37;11;13;25;24;60;53;40;4;4;0;0
